"filename", "language", "YAML", "Dart", "Markdown", "C++", "Swift", "JSON", "Groovy", "XML", "Properties", "comment", "blank", "total"
"d:\flutter\stackr\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\flutter\stackr\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 49, 0, 0, 3, 12, 64
"d:\flutter\stackr\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 1, 8
"d:\flutter\stackr\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 31, 0, 16, 1, 48
"d:\flutter\stackr\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\flutter\stackr\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\flutter\stackr\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 1, 8
"d:\flutter\stackr\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"d:\flutter\stackr\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"d:\flutter\stackr\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"d:\flutter\stackr\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"d:\flutter\stackr\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\flutter\stackr\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"d:\flutter\stackr\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
